0-0020-8;Obra Social del Personal de la Industria Gráfica de la Provincia de Córdoba;;Avellaneda 54;5000;Córdoba;Córdoba;351-4238079 0351-4236538;ospigpc@hotmail.com
0-0030-7;Obra Social Portuarios Argentinos de Mar del Plata;OSPA;Rondeau 63;7600;Mar del Plata;Buenos Aires;0223-4800421 0223-4890039;portuariosargentinosmdp@yahoo.com.ar
0-0040-6;Obra Social del Personal del Organismo de Control Externo;OSPOCE;Bartolomé Mitre 1523;1037;Capital Federal;Capital Federal;0800-3216776 conmutador 5510-5000;
0-0050-5;Obra Social de Capitanes Pilotos y Patrones de Pesca;OSPESCA;Av. Juan B. Justo 518;7600;Mar del Plata;Buenos Aires;0223-4809739 0223-4800580;ospesca@capitanesdepesca.org.ar
0-0060-4;Obra Social de Agentes de Loterías y Afines de la República Argentina;OSALARA;Adolfo Alsina 946;1088;Capital Federal;Capital Federal;5235-9810;osalara@aleara.com.ar
0-0070-3;Mutual del Personal del Agua y la Energía de Mendoza; ;José Vicente Zapata 144;5500;Mendoza;Mendoza;0261-4292012;mutualaye@infovia.com.ar
0-0090-1;Obra Social de la Actividad de Seguros Reaseguros Capitalización y Ahorro y Préstamo para la Vivienda;OSSEG;Pellegrini 575;1009;Capital Federal;Capital Federal;4131-2100 4131-2000;informacion@osseg.org.ar
0-0110-2;Obra Social para la Actividad Docente;OSPLAD;Tacuarí 345;1071;Capital Federal;Capital Federal;5032-9400;info@osplad.org.ar
0-0120-1;Obra Social para el Personal del Ministerio de Economía y de Obras y Servicios Públicos;OSME;Venezuela 155;1095;Capital Federal;Capital Federal;5275-5493;
0-0130-0;Obra Social Ferroviaria;OSFE;Estados Unidos 2859;1227;Capital Federal;Capital Federal;4127-7731;info@osferroviaria.org.ar
0-0150-8;Obra Social de la Asociación Civil Prosindicato de Amas de Casa de la República Argentina;OSSACRA;Paraguay 1896 piso 6º;1121;Capital Federal;Capital Federal;4811-5551 4811-5597;info@amassalud.org
0-0160-7;Obra Social del Sindicato Unido de Trabajadores de la Industria de Aguas Gaseosas de la Provincia de Santa Fe; ;Sarmiento 2225;2000;Rosario;Santa Fe;0341-4825430 0341-4823351;sutiagarosario@arnetbiz.com.ar
0-0170-6;Obra Social del Personal Jerárquico de la República Argentina para el Personal Jerárquico de la Industria Gráfica y el Personal Jerárquico del Agua y la Energía;OSJERA;Moreno 1142 planta baja;1091;Capital Federal;Capital Federal;4381-3200;atancion@opsjera.com.ar
0-0180-5;Obra Social de los Legisladores de la República Argentina;OSLERA;México 565;1097;Capital Federal;Capital Federal;4331-1245 4331-1090;oslera@clnoslera.com.ar
0-0190-4;Obra Social de la Federación de Cámaras y Centros Comerciales Zonales de la República Argentina;FEDECÁMARAS;Rivadavia 5456 1º Piso Gal. Astro;1424;Capital Federal;Capital Federal;4432-6333 4432-3457;info@osfedecamaras.com.ar
0-0210-5;Obra Social Profesionales del Turf de la República Argentina;OSPROTURA;Tres Sargentos 863;1641;Acassuso Sucursal;Buenos Aires;4792-1851 4798-3868;interturf@ciudad.com.ar
0-0220-4;Obra Social de Empleados y Personal Jerárquico de la Actividad del Neumático Argentino de Neumáticos Good Year SRL; ;Manuel Ocampo 1201;1686;Hurlingham;Buenos Aires;4665-7958;Director méd. Dr. Fernando San Cristóbal (MN)
0-0230-3;Obra Social para el Personal de Empresas de Limpieza Servicios y Maestranza de Mendoza; ;Montevideo 270;5500;Mendoza;Mendoza;0261-4201638;ospelsym@ospelsym.com.ar
0-0240-2;Obra Social del Personal Jerárquico del Transporte Automotor de Pasajeros de Córdoba y Afines; ;Caseros 636;5000;Bajo Palermo;Córdoba;0351-4213848 0351-4215648;
0-0250-1;Obra Social de Ministros Secretarios y Subsecretarios;OSMISS;Adolfo Alsina 943 piso 2;1088;Capital Federal;Capital Federal;4334-6644 4334-6611;gerencia.administracion@osmiss.org.ar
0-0260-0;Obra Social de los Trabajadores de la Carne y Afines de la República Argentina;O.S.T.C.A.R.A.;Paraná 749 2º A;1017;Capital Federal;Capital Federal;4371-6390 4371-7055;secretaria@ostcara.org.ar
0-0270-9;Obra Social de los Trabajadores Asociados a la Asociación Mutual Mercantil Argentina;OSTAMMA;Catamarca 1173;5900;Villa María;Córdoba;0353-4536925 0353-4536917;
0-0280-8;Obra Social de la Cámara de Empresarios de Agencias de Remises de Argentina; ;Rivadavia y 1º de Mayo;6634;Alberti;Buenos Aires;0800-220-3333;info@osceara.com.ar
0-0290-7;Obra Social Asociación Mutual Metalúrgica Villa Constitución;OSAMMVC;Juan Manuel de Rosas 710 planta alta;2919;Villa Constitución;Santa Fe;03400-479532;osammvc@cablenet.com.ar
0-0300-9;Obra Social del Personal Asociado a Asociación Mutual Sancor;O.S.PERS.A.A.M.S.;Sarmiento 811 piso 4 oficina 1;1041;Capital Federal;Capital Federal; ;ospersaams@sancorsalud.com.ar
0-0310-8;Obra Social de los Inmigrantes Españoles y sus Descendientes Residentes en la República Argentina;OSPAÑA;Venezuela 1162 planta baja;1095;Capital Federal;Capital Federal;4382-0400 / 8698 4382-9379 / 0733;ricciardi@ospana.com.ar
